"plotNumber","speciesEntropy","levelEntropy","conditionEntropy","overallEntropy"
"fs-049","1.17807911315185","1.5538146570364","0","2.73189377018825"
"fs-048","0","1.75632083723998","0","1.75632083723998"
"fs-024","1.18837637173451","2.4332062193465","0","3.62158259108101"
"fs-032","0.881290899230693","1.7527152789797","0","2.63400617821039"
"fs-041","0","1.58496250072116","0","1.58496250072116"
"fs-040","0","1.75","0","1.75"
"fs-042","1.29546184423832","1.15677964944704","0","2.45224149368536"
"fs-047","0.932138039759375","1.37878349348618","0","2.31092153324555"
"fs-006","0","2.23592635062903","0","2.23592635062903"
"fs-044","0.619382194678764","1.78415912785142","0","2.40354132253018"
"fs-046","0.543564443199596","1.65002242164835","0","2.19358686484795"
"fs-013","0.970950594454669","1.75","0","2.72095059445467"
"fs-002","0","1.55665670746282","0","1.55665670746282"
"fs-045","0.863120568566631","2.23592635062903","0","3.09904691919566"
"fs-050","0.845350936622436","1.57262366389516","0","2.4179746005176"
"de-004","0","0","0","0"
"de-003","0.337290066617014","0","0","0.337290066617014"
"fs-038","0.76420450650862","1.75","0","2.51420450650862"
"fs-023","0","1.84237099317711","0","1.84237099317711"
"fs-010","0.391243563629256","2.41938194564637","0","2.81062550927563"
"dm-003","0.970950594454669","1","0","1.97095059445467"
"exc-004","0","0","0","0"
"fs-031","0.985228136034252","1.52192809488736","0","2.50715623092161"
"fs-014","1.14847474219663","0","0","1.14847474219663"
"fs-039","0","1.52192809488736","0","1.52192809488736"
"fs-043","0.650022421648354","2.36852252772821","0","3.01854494937656"
"fs-037","0.970950594454669","0.721928094887362","0","1.69287868934203"
"fs-036","1","1.79248125036058","0","2.79248125036058"
"fs-005","1.32217934551667","1.57095059445467","0","2.89312993997134"
"fs-034","0","0.999673426004892","0","0.999673426004892"
"fs-001","1.45914791702724","2.18670434591002","0","3.64585226293726"
"fs-033","0","1.52192809488736","0","1.52192809488736"
"fs-029","0.468995593589281","1.84643934467102","0","2.3154349382603"
"fs-030","0","0.605186576633421","0","0.605186576633421"
"fs-027","1.44881563572518","2.23592635062903","0","3.68474198635421"
"fs-004","0.863120568566631","2.61057724333164","0","3.47369781189827"
"fs-022","0","0.811278124459133","0","0.811278124459133"
"fs-003","0.836640741941167","2.47290559532006","0","3.30954633726123"
"dm-002","0.863120568566631",NA,"0",NA
"dm-001","1",NA,"0",NA
"fs-035","0","1.92192809488736","0","1.92192809488736"
"fs-025","0.309543429150325","1.94553055603633","0","2.25507398518666"
"fs-026","0.979868756651153","1.78067212952089","0","2.76054088617204"
"fs-028","0","0","0","0"
"dm-006","0.91829583405449",NA,"0",NA
"dm-005","1","0","0","1"
"dm-004","1",NA,"0",NA
"fs-016","0","2.15563906222957","0","2.15563906222957"
"fs-017","1.29546184423832","1.96096404744368","0","3.256425891682"
"fs-011","0","1.91829583405449","0","1.91829583405449"
"fs-012","0","2.50325833477565","0","2.50325833477565"
"fs-020","0","1.92192809488736","0","1.92192809488736"
"fs-021","0.503258334775646","1.76420450650862","0","2.26746284128427"
"fs-007","0.468995593589281","2.17095059445467","0","2.63994618804395"
"fs-015","0.213579815338277","0","0","0.213579815338277"
"fs-018","0.946372935985442","2.07416474302258","0","3.02053767900802"
"fs-019","1.45914791702724","1.78415912785142","0","3.24330704487866"
"fs-009","0.991076059838222","2.28103611255342","0","3.27211217239164"
"fs-008","0.439496986921513","2.48171457298607","0","2.92121155990758"
"fs-051","1.48335575498169","1.78415912785142","0","3.26751488283311"
"fs-052","1.3844315043406","2.56544837182083","0.391243563629256","4.34112343979069"
"fs-053","0","0.175565025857503","0.175565025857503","0.351130051715006"
"fs-054","0","0.91829583405449","0","0.91829583405449"
"fs-055","0","2","0","2"
"fs-056","1.7527152789797","2.58582793914304","0.684038435639042","5.02258165376178"
"fs-057","0","2.32192809488736","0","2.32192809488736"
"fs-058","0","1.58496250072116","0.91829583405449","2.50325833477565"
