"plotNumber","speciesEvenness","levelEvenness","conditionEvenness","overallEvenness"
"fs-049","0.743285164548578","0.669191548376426","NaN","NaN"
"fs-048","NaN","0.87816041861999","NaN","NaN"
"fs-024","0.749782011368597","0.866725543047162","NaN","NaN"
"fs-032","0.881290899230693","0.87635763948985","NaN","NaN"
"fs-041","NaN","1","NaN","NaN"
"fs-040","NaN","0.875","NaN","NaN"
"fs-042","0.817345422146509","0.729846699162098","NaN","NaN"
"fs-047","0.401450002612847","0.869915529773629","NaN","NaN"
"fs-006","NaN","0.962961064794513","NaN","NaN"
"fs-044","0.619382194678764","0.89207956392571","NaN","NaN"
"fs-046","0.543564443199596","0.825011210824175","NaN","NaN"
"fs-013","0.970950594454669","0.875","NaN","NaN"
"fs-002","NaN","0.982141032834873","NaN","NaN"
"fs-045","0.863120568566631","0.962961064794513","NaN","NaN"
"fs-050","0.845350936622436","0.992215060722016","NaN","NaN"
"de-004","NaN","NaN","NaN","NaN"
"de-003","0.337290066617014","NaN","NaN","NaN"
"fs-038","0.76420450650862","0.875","NaN","NaN"
"fs-023","NaN","0.921185496588555","NaN","NaN"
"fs-010","0.391243563629256","0.935944697445865","NaN","NaN"
"dm-003","0.970950594454669","1","NaN","NaN"
"exc-004","NaN","NaN","NaN","NaN"
"fs-031","0.985228136034252","0.96022971786076","NaN","NaN"
"fs-014","0.724606886077163","NaN","NaN","NaN"
"fs-039","NaN","0.96022971786076","NaN","NaN"
"fs-043","0.650022421648354","0.91626958884991","NaN","NaN"
"fs-037","0.970950594454669","0.721928094887362","NaN","NaN"
"fs-036","1","0.89624062518029","NaN","NaN"
"fs-005","0.834202288644104","0.785475297227335","NaN","NaN"
"fs-034","NaN","0.999673426004892","NaN","NaN"
"fs-001","0.920619835714302","0.941762301220658","NaN","NaN"
"fs-033","NaN","0.96022971786076","NaN","NaN"
"fs-029","0.468995593589281","0.92321967233551","NaN","NaN"
"fs-030","NaN","0.605186576633421","NaN","NaN"
"fs-027","0.914100892018562","0.962961064794513","NaN","NaN"
"fs-004","0.863120568566631","0.929906376575378","NaN","NaN"
"fs-022","NaN","0.811278124459133","NaN","NaN"
"fs-003","0.836640741941167","0.95665047157557","NaN","NaN"
"dm-002","0.863120568566631",NA,"NaN",NA
"dm-001","1",NA,"NaN",NA
"fs-035","NaN","0.96096404744368","NaN","NaN"
"fs-025","0.309543429150325","0.837894403500341","NaN","NaN"
"fs-026","0.979868756651153","0.766893743799276","NaN","NaN"
"fs-028","NaN","NaN","NaN","NaN"
"dm-006","0.91829583405449",NA,"NaN",NA
"dm-005","1","NaN","NaN","NaN"
"dm-004","1",NA,"NaN",NA
"fs-016","NaN","0.928383211769588","NaN","NaN"
"fs-017","0.817345422146509","0.844541246458714","NaN","NaN"
"fs-011","NaN","0.959147917027245","NaN","NaN"
"fs-012","NaN","0.968392514041224","NaN","NaN"
"fs-020","NaN","0.96096404744368","NaN","NaN"
"fs-021","0.503258334775646","0.88210225325431","NaN","NaN"
"fs-007","0.468995593589281","0.934977529767124","NaN","NaN"
"fs-015","0.213579815338277","NaN","NaN","NaN"
"fs-018","0.597094843287992","0.893294132402149","NaN","NaN"
"fs-019","0.920619835714302","0.89207956392571","NaN","NaN"
"fs-009","0.991076059838222","0.98238878179562","NaN","NaN"
"fs-008","0.439496986921513","0.960058249314533","NaN","NaN"
"fs-051","0.935893280949401","0.89207956392571","0","1.82797284487511"
"fs-052","0.873479027870177","0.913831148197153","0.391243563629256","2.17855373969659"
"fs-053","NaN","0.175565025857503","0.175565025857503","NaN"
"fs-054","NaN","0.91829583405449","0","NaN"
"fs-055","NaN","1","0","NaN"
"fs-056","0.87635763948985","0.921090496547476","0.684038435639042","2.48148657167637"
"fs-057","NaN","0.999999999999999","0","NaN"
"fs-058","NaN","1","0.91829583405449","NaN"
