Plot;diameter;species;lat;speciesNumber;avgHeight;comment;foto
1;0-2;Rotbuche;NA;1;0,3;NA;NA
1;0-2;Hainbuche;NA;1;0,3;NA;NA
2;0-2;Rotbuche;NA;r;0,7;NA;NA
3;2-7;Wollweide;Salix lanata;r;3,5;NA;"20190514_145841; 20190514_145849"
3;2-7;Eberesche;NA;r;3;NA;NA
4;0-2;Rotbuche;NA;1;1,8;NA;NA
4;2-7;Rotbuche;NA;r;2,6;NA;NA
5;0-2;Rotbuche;NA;+;1,8;NA;NA
5;2-7;Rotbuche;NA;r;2,8;NA;NA
6;;Hainbuche;NA;r;2,1;NA;NA
7;0-2;Rotbuche;NA;1;1;NA;NA
7;2-7;Rotbuche;NA;+;4,5;NA;NA
8;0-2;Rotbuche;NA;2;3;NA;NA
8;2-7;Rotbuche;NA;+;4;NA;NA
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
